S. No,Filing Number,Date of Listing,Date of Upload,Order/Judgement
46,2401105000632022,06-06-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_16866359851101367415648805d11f17f.pdf
47,2401105000632022,28-03-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_16805142631352409663642a9cd78669b.pdf
48,2401105000632022,28-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_167773834618152625756400416acb5ae.pdf
49,2401105000632022,21-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_167721803994814022863f850f76c211.pdf
50,2401105000632022,14-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_1676629872162400392063ef57707eaa6.pdf
51,2401105000632022,07-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_1675920191170587484163e4833f28382.pdf
52,2401105000632022,06-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_167583390738604133763e3323378311.pdf
53,2401105000632022,23-01-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_1675069930200398048163d789ea82cce.pdf
54,2401105000632022,03-01-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_1672912752166357815363b69f70e73ae.pdf
55,2401105000632022,29-11-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_1669872198100750722563883a468ee57.pdf
56,2401105000632022,19-10-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_16662613882246390306351218c4da45.pdf
57,2401105000632022,30-08-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_16619484331083396630630f521189fe7.pdf
58,2401105000632022,19-07-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_165831842829961171962d7ee5ccb7e2.pdf
59,2401105000632022,20-06-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_1655894772114812547762b2f2f480fac.pdf
60,2401105000632022,18-04-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_16503681581700391729625e9e9e58be8.pdf
61,2401105000632022,09-03-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_16469960951588029502622b2a7f53571.pdf
62,2401105000632022,09-02-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_16444875925894983156204e3a8773b7.pdf
63,2401105000642022,18-07-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_16902672762544824864bf6e8c18586.pdf
64,2401105000642022,14-06-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_168741803718605677116493f4b5b2f80.pdf
65,2401105000642022,13-06-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_16872582708369368236491849e4dcd1.pdf
66,2401105000642022,06-06-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_1686636194312087331648806a22abef.pdf
67,2401105000642022,28-03-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_16805144241470129758642a9d788330c.pdf
68,2401105000642022,28-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_167773851210718393526400421052f4b.pdf
69,2401105000642022,21-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_167721817165019901063f8517b28ee6.pdf
70,2401105000642022,14-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_1676629990140205303163ef57e633a49.pdf
71,2401105000642022,07-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_1675920416212550355463e484200f9b5.pdf
72,2401105000642022,06-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_1675834054192327641263e332c63044c.pdf
73,2401105000642022,23-01-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_1675070401211927323363d78bc197489.pdf
74,2401105000642022,03-01-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_1672912795112792501663b69f9b19248.pdf
75,2401105000642022,29-11-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_1669872269153084845463883a8d3d2ca.pdf
76,2401105000642022,19-10-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_1666261448806327354635121c89e582.pdf
77,2401105000642022,30-08-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_16619484731175710137630f523914266.pdf
78,2401105000642022,19-07-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_165831852228062265962d7eeba6c2cf.pdf
79,2401105000642022,20-06-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_165589483522155841162b2f33338580.pdf
80,2401105000642022,18-04-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_1650368221901105522625e9eddcd49b.pdf
81,2401105000642022,09-03-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_16469962541899842484622b2b1ed1598.pdf
82,2401105000642022,24-01-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000922022/04/Order-Challenge/04_order-Challange_004_164311264339818777961efe8c31fbe3.pdf
83,2401105000652022,20-07-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000812022/04/Order-Challenge/04_order-Challange_004_16901764849715403664be0be48c213.pdf
84,2401105000652022,12-05-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000812022/04/Order-Challenge/04_order-Challange_004_1684296724166459968264645414ab7f5.pdf
85,2401105000652022,28-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000812022/04/Order-Challenge/04_order-Challange_004_1677663183121428495363ff1bcfb4d0c.pdf
86,2401105000652022,21-12-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000812022/04/Order-Challenge/04_order-Challange_004_1671795774149365775363a5943ede507.pdf
87,2401105000652022,13-10-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000812022/04/Order-Challenge/04_order-Challange_004_1665986152155572081634cee6892f29.pdf
88,2401105000652022,05-08-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000812022/04/Order-Challenge/04_order-Challange_004_166021807920033629162f4eadf2db86.pdf
89,2401105000652022,21-06-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000812022/04/Order-Challenge/04_order-Challange_004_165589668855419532862b2fa707c057.pdf
90,2401105000652022,21-04-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000812022/04/Order-Challenge/04_order-Challange_004_16506982513242007126263a80bbd0b8.pdf
91,2401105000652022,07-03-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000812022/04/Order-Challenge/04_order-Challange_004_16467324891236854598622724c984618.pdf
92,2401105000652022,15-02-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000812022/04/Order-Challenge/04_order-Challange_004_1645012826205655735620ce75ae78ab.pdf
93,2401105000662022,20-07-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000932022/04/Order-Challenge/04_order-Challange_004_169017646553640036464be0bd11331c.pdf
94,2401105000662022,12-05-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000932022/04/Order-Challenge/04_order-Challange_004_168429669251616523646453f41724a.pdf
95,2401105000662022,28-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000932022/04/Order-Challenge/04_order-Challange_004_16776631662662528663ff1bbe1dd0b.pdf
96,2401105000662022,21-12-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000932022/04/Order-Challenge/04_order-Challange_004_167179574157761208763a5941d51acf.pdf
97,2401105000662022,13-10-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000932022/04/Order-Challenge/04_order-Challange_004_1665986132907573060634cee54d0845.pdf
98,2401105000662022,05-08-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000932022/04/Order-Challenge/04_order-Challange_004_1660218046163299770162f4eabe104f2.pdf
99,2401105000662022,21-06-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000932022/04/Order-Challenge/04_order-Challange_004_1655896666117169969262b2fa5a5c787.pdf
100,2401105000662022,21-04-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000932022/04/Order-Challenge/04_order-Challange_004_165069823016766519386263a7f62e8ed.pdf
101,2401105000662022,07-03-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000932022/04/Order-Challenge/04_order-Challange_004_1646732455430804000622724a7b73e5.pdf
102,2401105000662022,15-02-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000932022/04/Order-Challenge/04_order-Challange_004_1645012805544737845620ce7452aeca.pdf
103,2401105000672022,06-03-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000942022/04/Order-Challenge/04_order-Challange_004_167835710716622684176409b27392390.pdf
104,2401105000672022,18-01-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000942022/04/Order-Challenge/04_order-Challange_004_167421007240565358263ca6b18b2447.pdf
105,2401105000672022,22-11-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000942022/04/Order-Challenge/04_order-Challange_004_16693547782571400786380551a4f5c0.pdf
106,2401105000672022,10-10-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000942022/04/Order-Challenge/04_order-Challange_004_166557574316179221356346ab3f201db.pdf
107,2401105000672022,21-09-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000942022/04/Order-Challenge/04_order-Challange_004_16639141611783563796632d50b108754.pdf
108,2401105000672022,30-08-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000942022/04/Order-Challenge/04_order-Challange_004_1661948167379204574630f5107159bf.pdf
109,2401105000672022,26-07-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000942022/04/Order-Challenge/04_order-Challange_004_1658921470210338931562e121fe57088.pdf
110,2401105000672022,27-06-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000942022/04/Order-Challenge/04_order-Challange_004_16565037773327662bc3de1617df.pdf
111,2401105000672022,04-05-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000942022/04/Order-Challenge/04_order-Challange_004_16517347771435152350627378f954cbf.pdf
112,2401105000672022,23-03-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000942022/04/Order-Challenge/04_order-Challange_004_16482004831652088960623d8b231cf4b.pdf
113,2401105000672022,08-03-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000942022/04/Order-Challenge/04_order-Challange_004_16469913831842141244622b1817cd8ab.pdf
114,2401105000682022,09-02-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000962022/04/Order-Challenge/04_order-Challange_004_164448737510737296206204e2cf0b90b.pdf
115,2401105000692022,09-08-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_169166966493140753864d4d4a04dadf.pdf
116,2401105000692022,30-06-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_16884619655397678764a3e28d57a24.pdf
117,2401105000692022,09-06-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_16868153731924387896648ac28d2e838.pdf
118,2401105000692022,28-04-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_168308992018420929316451ea005276f.pdf
119,2401105000692022,21-03-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_167989363325277375564212481af1eb.pdf
120,2401105000692022,10-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_167635377479291684263eb20eec6d95.pdf
121,2401105000692022,18-01-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_1674211778105447314063ca71c214eab.pdf
122,2401105000692022,12-12-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_16711014951199216143639afc370f260.pdf
123,2401105000692022,07-12-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_1670487773178163283663919eddf3fb4.pdf
124,2401105000692022,09-11-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_166840213311461032306371cbd5dfe08.pdf
125,2401105000692022,20-09-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_16638307532104385899632c0ae1a960e.pdf
126,2401105000692022,12-08-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_166065040749904795562fb83a78c708.pdf
127,2401105000692022,30-06-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_165693286794375804362c2ca03dae5e.pdf
128,2401105000692022,14-06-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_1655374650121133717162ab033a3a2f1.pdf
129,2401105000692022,25-04-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000972022/04/Order-Challenge/04_order-Challange_004_1651053564666889898626913fcd5924.pdf
